date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:53	149702/149702	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-248c6%22	https://uomo-html.flexkitux.com/Demo1/product10_v5.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/product10_v5.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:36:54	165993/165993	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-28869%22	https://uomo-html.flexkitux.com/Demo1/product11_v6.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/product11_v6.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:36:54	162874/162874	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-27c3a%22	https://uomo-html.flexkitux.com/Demo1/product12_v7.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/product12_v7.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:36:56	163219/163219	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-27d93%22	https://uomo-html.flexkitux.com/Demo1/product13_v8.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/product13_v8.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:36:57	163583/163583	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-27eff%22	https://uomo-html.flexkitux.com/Demo1/product14_v9.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/product14_v9.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:36:58	165705/165705	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-28749%22	https://uomo-html.flexkitux.com/Demo1/product15_v10.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/product15_v10.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:36:58	162376/162376	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-27a48%22	https://uomo-html.flexkitux.com/Demo1/product16_v11.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/product16_v11.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:36:59	153407/153407	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-2573f%22	https://uomo-html.flexkitux.com/Demo1/shop12.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/shop12.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:36:59	157440/157440	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-26700%22	https://uomo-html.flexkitux.com/Demo1/product1_simple.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/product1_simple.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:00	157189/157189	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-26605%22	https://uomo-html.flexkitux.com/Demo1/product3_external.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/product3_external.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:00	158498/158498	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-26b22%22	https://uomo-html.flexkitux.com/Demo1/product4_grouped.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/product4_grouped.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:01	157609/157609	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-267a9%22	https://uomo-html.flexkitux.com/Demo1/product5_onsale.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/product5_onsale.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:02	157100/157100	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-265ac%22	https://uomo-html.flexkitux.com/Demo1/product6_outofstock.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/product6_outofstock.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:02	124844/124844	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1e7ac%22	https://uomo-html.flexkitux.com/Demo1/shop_cart.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/shop_cart.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:03	126630/126630	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1eea6%22	https://uomo-html.flexkitux.com/Demo1/shop_checkout.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/shop_checkout.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:04	119226/119226	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1d1ba%22	https://uomo-html.flexkitux.com/Demo1/shop_order_complete.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/shop_order_complete.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:04	116156/116156	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1c5bc%22	https://uomo-html.flexkitux.com/Demo1/shop_order_tracking.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/shop_order_tracking.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:05	120364/120364	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1d62c%22	https://uomo-html.flexkitux.com/Demo1/blog_list1.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/blog_list1.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:06	122341/122341	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1dde5%22	https://uomo-html.flexkitux.com/Demo1/blog_list2.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/blog_list2.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:06	119954/119954	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1d492%22	https://uomo-html.flexkitux.com/Demo1/blog_list3.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/blog_list3.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:07	136106/136106	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-213aa%22	https://uomo-html.flexkitux.com/Demo1/blog_single.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/blog_single.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:07	116586/116586	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1c76a%22	https://uomo-html.flexkitux.com/Demo1/account_dashboard.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/account_dashboard.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:08	119407/119407	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1d26f%22	https://uomo-html.flexkitux.com/Demo1/login_register.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/login_register.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:10	119044/119044	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1d104%22	https://uomo-html.flexkitux.com/Demo1/store_location.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/store_location.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:10	119563/119563	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1d30b%22	https://uomo-html.flexkitux.com/Demo1/lookbook.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/lookbook.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:11	128348/128348	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1f55c%22	https://uomo-html.flexkitux.com/Demo1/faq.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/faq.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:11	118685/118685	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-1cf9d%22	https://uomo-html.flexkitux.com/Demo1/terms.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/terms.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
21:37:12	105797/105797	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-19d45%22	https://uomo-html.flexkitux.com/Demo1/404.html	H:/FPT/DATN/GiaoDien03/GiaoDen03/uomo-html.flexkitux.com/Demo1/404.html	(from https://uomo-html.flexkitux.com/Demo1/index.html)
